ymd,interest rating,m2(%),m2(abs),cpi(%),cpi(abs),expected inflation,supply,종소세율,취득세율
201101,2.75,6.49,1676448.8,3.44,88.29,16.13,5815,0.0017928,0.033
201102,2.75,4.95,1674390.5,3.94,88.89,19.35,3848,0.0017928,0.033
201103,3,4.33,1677475.9,4.13,89.24,30,591,0.0017928,0.033
201104,3,3.92,1684792.4,3.81,89.32,33.33,3514,0.0017928,0.0165
201105,3,3.66,1690543,3.91,89.5,30,952,0.0017928,0.0165
201106,3.25,2.99,1697204.4,4.22,89.67,37.93,2402,0.0017928,0.0165
201107,3.25,3.17,1705451.5,4.51,90.1,33.33,4384,0.0017928,0.0165
201108,3.25,3.96,1719437.8,4.68,90.71,38.71,1294,0.0017928,0.0165
201109,3.25,4.23,1729531.2,3.76,90.62,38.71,1509,0.0017928,0.0165
201110,3.25,4.39,1742645.5,3.56,90.45,30.3,4340,0.0017928,0.0165
201111,3.25,4.37,1753296.4,4.17,90.53,31.25,4688,0.0017928,0.0165
201112,3.25,4.38,1756597.5,4.16,90.88,28.12,5145,0.0017928,0.0165
201201,3.25,4.81,1757058.8,3.35,91.24,16.67,3147,0.0017928,0.033
201202,3.25,5.29,1762988.4,3.03,91.59,10.81,1435,0.0017928,0.033
201203,3.25,5.7,1773172.8,2.66,91.61,5.13,831,0.0017928,0.033
201204,3.25,5.48,1777114.8,2.55,91.6,-2.5,1525,0.0017928,0.033
201205,3.25,5.54,1784220.5,2.54,91.77,-2.56,2230,0.0017928,0.033
201206,3.25,5.88,1796981.5,2.2,91.64,-5,1636,0.0017928,0.033
201207,3,5.97,1807289.2,1.48,91.43,-7.5,844,0.0017928,0.033
201208,3,5.68,1817134.9,1.27,91.86,-16.28,2418,0.0017928,0.033
201209,3,5.19,1819290.1,2.09,92.51,-18.6,2635,0.0017928,0.033
201210,2.75,4.58,1822420.8,2.09,92.34,-23.26,4241,0.0017928,0.022
201211,2.75,4.39,1830280.4,1.63,92.01,-23.81,2681,0.0017928,0.022
201212,2.75,4.5,1835556.8,1.43,92.18,-24.39,2492,0.0017928,0.022
201301,2.75,4.78,1841128.1,1.63,92.73,-23.81,3343,0.0017928,0.022
201302,2.75,5.34,1857135,1.58,93.04,-21.95,2177,0.0017928,0.022
